Resort,HighestPoint,LowestPoint,VerticalDrop,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,Snowparks,NightSki,Country_Andorra,Country_Austria,Country_France,Country_Germany,Country_Italy,Country_Norway,Country_Other,Country_Slovakia,Country_Spain,Country_Sweden,Country_Switzerland
Valfréjus,0.8844246588075219,1.1827626820805102,0.3147614030955202,-1.1830978566525745,0.062136519078259254,-0.38484179559096704,-0.11359275888259773,-0.15885032314474384,-0.6207721025359715,-0.4386331248943765,-0.4606307129141358,-0.5645686601410272,-0.4266748046764915,-0.3494708942478581,1,0,0,0,1,0,0,0,0,0,0,0,0
Savognin,0.8513696099878019,0.3070853537674311,0.9204733790758124,0.7539742272904539,-0.08610490082967849,-0.023664117212592702,-0.6731929632841501,-0.15885032314474384,-0.2743296795252989,-0.5968850758366614,-0.4606307129141358,-0.4680253204886583,-0.46571404077738676,-0.3006272599587537,1,1,0,0,0,0,0,0,0,0,0,0,1
Scuol-Motta Naluns,0.9505347564469618,0.43218211495501385,0.9613496473935009,0.7539742272904539,-0.1787557882721396,-0.14405667667205083,-0.05763273844244249,-0.15885032314474384,-0.5514836179338369,-0.2803811739520916,-0.4606307129141358,-0.4680253204886583,-0.3789601827753972,-0.2127087182383659,1,0,0,0,0,0,0,0,0,0,0,0,1
Passo San Pellegrino-​Falcade,0.5759108698234686,0.28206600152991457,0.567451061786685,0.4772496438700212,-0.3084670306915851,-0.023664117212592702,-0.2255127997629082,-0.18514279042387385,-0.5514836179338369,-0.043003247538664316,-0.309145366754706,-0.339300867618833,-0.248178741837398,-0.5448454314042755,1,0,0,0,0,0,1,0,0,0,0,0,0
Piau Engaly,0.6406436737620869,0.8575111029927951,0.22743482987136765,-0.4451656341980875,-0.030514368364201835,-0.34471094243781436,-0.2255127997629082,-0.20267110194329388,-0.6207721025359715,-0.3595071494232341,-0.6121160590735656,-0.5645686601410272,-0.4740640996100782,-0.44715816282606685,1,0,0,0,1,0,0,0,0,0,0,0,0
Flumserberg,-1.9693278892949704,-1.6319144446401013,-1.444776146761341,0.8462157550972648,-0.49376880557650726,-0.023664117212592702,0.2781273841984889,-0.20267110194329388,-0.3436181641274334,-0.12212922300980676,-0.006174674435846377,-0.2105764147490077,-0.09989471004749738,-0.5448454314042755,1,1,0,0,0,0,0,0,0,0,0,0,1
Super Sauze,0.4891413666717036,0.807472398517762,0.06021373220809679,-1.0908563288457638,-0.030514368364201835,-0.38484179559096704,-0.11359275888259773,-0.20267110194329388,0.2799781972917772,-0.4386331248943765,-0.6121160590735656,-0.1783953015315514,-0.3800879829294231,-0.3006272599587537,1,0,0,0,1,0,0,0,0,0,0,0,0
Bukovel,-0.9955812428140525,-0.4685145655955818,-0.9951371952667682,-0.9063732732321419,-0.1972859657606318,-0.22431838297835624,-0.05763273844244249,-0.20267110194329388,-0.7593490717402405,0.4317526052881903,-0.6121160590735656,-0.3071197544013767,-0.035436593552019155,-0.5448454314042755,1,1,0,0,0,0,0,0,1,0,0,0,0
La Norma,0.9023294769182034,0.6823756373301793,0.7105180008985946,-1.1830978566525745,-0.3640575631570618,0.07666301567028906,-0.3933928610833739,-0.20267110194329388,-0.48219513333170244,-0.3595071494232341,-0.4606307129141358,-0.4680253204886583,-0.4811128505727399,-0.2371305353829181,1,0,0,0,1,0,0,0,0,0,0,0,0
Pal-​Arinsal-La Massana-Vallnord-,-0.7504229640677959,0.38214341047998074,-1.2961351710606557,-0.4451656341980875,-0.1046350783181707,-0.3045800892846616,-0.2255127997629082,-0.22019941346271388,0.07211274348537365,0.194374678874763,-0.006174674435846377,0.11123471742555552,0.04179602853425203,0.17804035607446897,1,0,1,0,0,0,0,0,0,0,0,0,0
Arabba,0.5277055902947103,1.3128633137155963,-0.26308038994089356,0.661732699483643,-0.08610490082967849,-0.34471094243781436,-0.2255127997629082,-0.2289635692224239,-0.7593490717402405,0.5108785807593328,-0.006174674435846377,-0.14621418831409508,0.18435430569602135,0.9693072315579596,1,0,0,0,0,0,1,0,0,0,0,0,0
Wildkogel-Neukirchen-​Bramberg,0.07595325642520379,-0.6436500312581976,0.580457147160495,0.20052506044958862,-0.16022561078364736,-0.2845146627080853,-0.16955277932275295,-0.2289635692224239,0.07211274348537365,-0.4386331248943765,0.14531067172358345,-0.11403307509663874,-0.1753488780447278,0.2732854429382225,1,1,0,1,0,0,0,0,0,0,0,0,0
Hintertux Glacier,1.5909763273290365,1.0576659208929275,1.3608222695890924,0.9384572829040756,-0.4196480956225384,-0.08386039694232177,-0.05763273844244249,-0.2464918807418439,-0.2743296795252989,-0.2803811739520916,0.29679601788301324,-0.1783953015315514,0.07328767898897423,0.09012181435408112,1,0,0,1,0,0,0,0,0,0,0,0,0
Disentis 3000,1.0166448540864017,0.37463760480872577,1.093268513327859,0.661732699483643,-0.3084670306915851,-0.18418752982520353,-0.11359275888259773,-0.2464918807418439,-0.3436181641274334,-0.517759100365519,-0.4606307129141358,-0.4680253204886583,-0.5309963189238839,-0.5350767045464546,1,0,0,0,0,0,0,0,0,0,0,0,1
Belalp-Blatten,1.4091735588205767,0.6123214510651329,1.4462908306169864,0.661732699483643,-0.3084670306915851,-0.38484179559096704,0.44600744551895466,-0.2464918807418439,-0.41290664872956795,-0.517759100365519,-0.309145366754706,-0.4680253204886583,-0.47352188799756584,-0.5448454314042755,1,0,0,0,0,0,0,0,0,0,0,0,1
San Martino di Castrozza,0.3610530524952887,0.8174801394127686,-0.12001345082898403,0.20052506044958862,-0.38258774064555395,-0.14405667667205083,-0.0016727180022872532,-0.2464918807418439,-0.48219513333170244,0.3526266298170479,-0.1576600205952762,-0.11403307509663874,-0.12175668226399874,-0.17851817423599287,1,1,0,0,0,0,1,0,0,0,0,0,0
Meiringen-Hasliberg,-1.4321833459745206,-1.1940757804835616,-1.0453035245657494,0.7539742272904539,-0.3084670306915851,-0.10392582351889812,-0.33743284064321866,-0.2464918807418439,-0.5514836179338369,-0.4386331248943765,0.14531067172358345,-0.4036630940537456,-0.41407380680170247,-0.3616818028201342,0,1,0,0,0,0,0,0,0,0,0,0,1
Toggenburg-Wildhaus-​Unterwasser-​Alt St. Johann,0.2302101509172304,-0.4434952133580653,0.6399135374407691,0.9384572829040756,-0.49376880557650726,0.11679386882344177,-0.3933928610833739,-0.2464918807418439,0.2799781972917772,-0.517759100365519,-0.006174674435846377,-0.08185196187918242,-0.3365375462124243,-0.41052543710923856,1,1,0,0,0,0,0,0,0,0,0,0,1
Alpe di Siusi-Seiser Alm-,-0.5865250136700176,-0.19330169098289982,-0.6476889145664165,1.1229403385176975,-0.4196480956225384,0.11679386882344177,-0.6172329428439949,-0.2464918807418439,-0.3436181641274334,0.4317526052881903,-0.1576600205952762,-0.017489735444269777,0.0032773155813686787,-0.3738927113924103,1,0,0,0,0,0,1,0,0,0,0,0,0
Le Lioran,-0.33723485382129603,0.20700794481736493,-0.6086706584449867,-0.9986148010389528,-0.12316525580666292,-0.38484179559096704,-0.11359275888259773,-0.2464918807418439,-0.06646422571889538,-0.12212922300980676,-0.4606307129141358,-0.1783953015315514,-0.22291168069431855,0.04372036177943198,1,1,0,0,1,0,0,0,0,0,0,0,0
Saint Luc-​Chandolin-Anniviers-,1.2810852446441616,1.445465880574434,0.6547776350108376,0.4772496438700212,-0.3084670306915851,-0.18418752982520353,-0.11359275888259773,-0.2464918807418439,-0.2050411949231644,-0.517759100365519,-0.4606307129141358,-0.4036630940537456,-0.5448769362042022,-0.2908585331009329,1,0,0,0,0,0,0,0,0,0,0,0,1
Les Karellis,0.5855519257292202,1.307859443268093,-0.18132785330551668,-1.3675809122661964,-0.1972859657606318,-0.2845146627080853,-0.16955277932275295,-0.2464918807418439,-0.2743296795252989,-0.2803811739520916,-0.6121160590735656,-0.3714819808362893,-0.3908454613216698,-0.3055116233876642,1,0,0,0,1,0,0,0,0,0,0,0,0
Peyragudes,0.4202766816306203,1.307859443268093,-0.4042893168565445,-0.1684410507776549,-0.12316525580666292,-0.26444923613150895,-0.44935288152352915,-0.2464918807418439,-0.41290664872956795,-0.043003247538664316,-0.6121160590735656,-0.339300867618833,-0.27505074935351426,0.01685636292042458,1,0,0,0,1,0,0,0,0,0,0,0,0
Leysin,0.15170440997039542,0.43218211495501385,-0.1162974264364669,0.2927665882563995,0.1177270515437359,-0.48516892847384885,-0.5612729224038396,-0.2464918807418439,-0.41290664872956795,-0.2012551984809492,-0.4606307129141358,-0.3714819808362893,-0.4878362745678941,-0.36900834796349985,1,0,0,0,0,0,0,0,0,0,0,0,1
Ponte di Legno-Passo ​Tonale-​Presena Glacier-​Temù-Pontedilegno-Tonale-,1.2686896013367666,0.10943247109105038,1.6302340380465843,0.016042004835966853,-0.49376880557650726,0.016466735940560005,-0.16955277932275295,-0.2552560365015539,-0.48219513333170244,0.74825650717276,-0.006174674435846377,0.07905360420809919,0.311275199952932,-0.5448454314042755,1,1,0,0,0,0,1,0,0,0,0,0,0
