Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons,VerticalDrop
Arcalís-Ordino (Vallnord),Andorra,2625,1940,37.0,13,14,3,30,1,0,10,4,1,15,14240,106,685
Hemsedal,Norway,1450,620,46.0,29,10,4,44,1,1,15,6,0,21,22921,325,830
Sölden,Austria,3340,1350,53.0,70,44,29,144,1,1,12,16,8,36,70370,363,1990
Stubai Glacier,Austria,3212,1697,46.0,19,15,4,38,1,0,14,7,5,26,39784,69,1515
Elfer Neustift,Austria,2080,981,29.0,0,7,0,7,0,0,3,0,1,4,2980,0,1099
Val Gardena,Italy,2518,1236,54.0,52,105,18,175,1,0,29,41,14,84,121914,630,1282
Val Thorens (Les 3 Vallées),France,3230,1110,61.0,312,216,72,600,1,1,62,63,40,165,250860,2383,2120
Montgenèvre (Via Lattea),France,2749,1372,48.0,96,220,84,400,0,1,29,35,7,71,96433,0,1377
Sauze d’Oulx (Via Lattea),Italy,2749,1372,48.0,96,220,84,400,0,1,29,35,7,71,96433,0,1377
Gressoney - La-Trinite (Monterosa Ski),Italy,3275,1212,43.0,23,94,15,132,1,0,9,9,12,30,31984,655,2063
Champoluc (Monterosa Ski),Italy,3275,1212,43.0,23,94,15,132,1,0,9,9,12,30,31984,655,2063
Zauchensee,Austria,2188,1000,52.0,23,16,4,44,1,0,9,6,4,19,25988,113,1188
